"event_key","date","series","title","city","country","event_format","event_site","sessionize_url","event_repo","demo_url"
"cmd15","2015-03-27","Community Days","Community Days 2015","Milano","IT","in-person","https://communitydays.it/events/2015",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2015/community-days-2015","https://github.com/ghotz/Presentations/tree/master/2015-2019/2015/community-days-2015/demos"
"ss400","2015-05-23","SQL Saturday","SQL Saturday 400 Torino 2015","Torino","IT","in-person","https://sqlsaturday.com/2015-05-23-SQLSat-0400",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2015/sql-saturday-400-torino-2015","https://github.com/ghotz/Presentations/tree/master/2015-2019/2015/sql-saturday-400-torino-2015/demos"
"sid2015","2015-06-17","SID","Server Infrastructure Days 2015","Milano","IT","in-person","https://web.archive.org/web/20190819033834/http://www.sidconference.com/2015",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2015/server-infrastructure-days-2015","https://github.com/ghotz/Presentations/tree/master/2015-2019/2015/server-infrastructure-days-2015/demos"
"msmvp15","2015-07-09","Microsoft Events","Microsoft MVP Community Presentation","Desenzano","IT","in-person",,,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2015/microsoft-mvp-community-presentation","https://github.com/ghotz/Presentations/tree/master/2015-2019/2015/microsoft-mvp-community-presentation/demos"
"cmdfd15","2015-11-12","Community Days","Future Decoded 2015","Roma","IT","in-person","https://communitydays.it/events/futuredecoded-2015",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2015/future-decoded-2015","https://github.com/ghotz/Presentations/tree/master/2015-2019/2015/future-decoded-2015/demos"
"sidtd2016","2016-01-26","SID","Technical Cloud Day 2016","Milano","IT","in-person","https://web.archive.org/web/20160126143719/http://www.technicalcloudday.it",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2016/technical-cloud-day-2016","https://github.com/ghotz/Presentations/tree/master/2015-2019/2016/technical-cloud-day-2016/demos"
"ss495","2016-02-27","SQL Saturday","SQL Saturday 495 Pordenone 2016","Pordenone","IT","in-person","https://sqlsaturday.com/2016-02-27-SQLSat-0495",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2016/sql-saturday-495-pordenone-2016","https://github.com/ghotz/Presentations/tree/master/2015-2019/2016/sql-saturday-495-pordenone-2016/demos"
"sid2016","2016-06-15","SID","Server Infrastructure Days 2016","Milano","IT","in-person","https://web.archive.org/web/20161205074002/http://www.wpc2016.it/Events/Agenda",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2016/server-infrastructure-days-2016","https://github.com/ghotz/Presentations/tree/master/2015-2019/2016/server-infrastructure-days-2016/demos"
"1n0ts","2016-09-17","1nn0va Events","SQL Tuning Saturday","Pordenone","IT","in-person","https://www.eventbrite.it/e/biglietti-sql-tuning-saturday-26054238930",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2016/sql-tuning-saturday","https://github.com/ghotz/Presentations/tree/master/2015-2019/2016/sql-tuning-saturday/demos"
"cmdfd16","2016-10-06","Community Days","Future Decoded 2016","Milano","IT","in-person","https://communitydays.it/events/2016",,"https://github.com/ghotz/Presentations/tree/master/2015-2019/2016/future-decoded-2016","https://github.com/ghotz/Presentations/tree/master/2015-2019/2016/future-decoded-2016/demos"
